# Copyright (C) 1991-2011 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 10.1 Build 197 01/19/2011 Service Pack 1 SJ Full Version
# File: K:/code/altera/all/de2_pin.csv
# Generated on: Sun May 22 17:27:50 2011

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Standard,Reserved
hex3[5],Unknown,PIN_U22,,
hex3[6],Unknown,PIN_W24,,
hex4[0],Unknown,PIN_U9,,
hex4[1],Unknown,PIN_U1,,
hex4[2],Unknown,PIN_U2,,
hex4[3],Unknown,PIN_T4,,
hex4[4],Unknown,PIN_R7,,
hex4[5],Unknown,PIN_R6,,
hex4[6],Unknown,PIN_T3,,
hex5[0],Unknown,PIN_T2,,
hex5[1],Unknown,PIN_P6,,
hex5[2],Unknown,PIN_P7,,
hex5[3],Unknown,PIN_T9,,
hex5[4],Unknown,PIN_R5,,
hex5[5],Unknown,PIN_R4,,
hex5[6],Unknown,PIN_R3,,
hex6[0],Unknown,PIN_R2,,
hex6[1],Unknown,PIN_P4,,
hex6[2],Unknown,PIN_P3,,
hex6[3],Unknown,PIN_M2,,
hex6[4],Unknown,PIN_M3,,
hex6[5],Unknown,PIN_M5,,
hex6[6],Unknown,PIN_M4,,
hex7[0],Unknown,PIN_L3,,
hex7[1],Unknown,PIN_L2,,
hex7[2],Unknown,PIN_L9,,
hex7[3],Unknown,PIN_L6,,
hex7[4],Unknown,PIN_L7,,
hex7[5],Unknown,PIN_P9,,
hex7[6],Unknown,PIN_N9,,
clk,Unknown,PIN_N2,,
rx,Unknown,PIN_C25,,
tx,Unknown,PIN_B25,,
ps2c,Unknown,PIN_D26,,
ps2d,Unknown,PIN_C24,,
sd_do,Unknown,PIN_AD24,,
sd_cs,Unknown,PIN_AC23,3.3-V LVTTL,
sd_di,Unknown,PIN_Y21,,
sd_clk,Unknown,PIN_AD25,,
m_clk,Unknown,PIN_A5,3.3-V LVTTL,
b_clk,Unknown,PIN_B4,3.3-V LVTTL,
dac_lr_clk,Unknown,PIN_C6,3.3-V LVTTL,
dacdat,Unknown,PIN_A4,3.3-V LVTTL,
adc_lr_clk,Unknown,PIN_C5,3.3-V LVTTL,
adcdat,Unknown,PIN_B5,3.3-V LVTTL,
vdac_clk,Unknown,PIN_B8,,
vdac_blank_n,Unknown,PIN_D6,,
vdac_sync_n,Unknown,PIN_B7,,
hsync,Unknown,PIN_A7,,
vsync,Unknown,PIN_D8,,
i2c_sclk,Unknown,PIN_A6,,
i2c_sdat,Unknown,PIN_B6,,
rgb[0],Unknown,PIN_J13,,
rgb[1],Unknown,PIN_J14,,
rgb[2],Unknown,PIN_F12,,
rgb[3],Unknown,PIN_G12,,
rgb[4],Unknown,PIN_J10,,
rgb[5],Unknown,PIN_J11,,
rgb[6],Unknown,PIN_C11,,
rgb[7],Unknown,PIN_B11,,
rgb[8],Unknown,PIN_C12,,
rgb[9],Unknown,PIN_B12,,
rgb[10],Unknown,PIN_B9,,
rgb[11],Unknown,PIN_A9,,
rgb[12],Unknown,PIN_C10,,
rgb[13],Unknown,PIN_D10,,
rgb[14],Unknown,PIN_B10,,
rgb[15],Unknown,PIN_A10,,
rgb[16],Unknown,PIN_G11,,
rgb[17],Unknown,PIN_D11,,
rgb[18],Unknown,PIN_E12,,
rgb[19],Unknown,PIN_D12,,
rgb[20],Unknown,PIN_C8,,
rgb[21],Unknown,PIN_F10,,
rgb[22],Unknown,PIN_G10,,
rgb[23],Unknown,PIN_D9,,
rgb[24],Unknown,PIN_C9,,
rgb[25],Unknown,PIN_A8,,
rgb[26],Unknown,PIN_H11,,
rgb[27],Unknown,PIN_H12,,
rgb[28],Unknown,PIN_F11,,
rgb[29],Unknown,PIN_E10,,
sram_addr[0],Unknown,PIN_AE4,,
sram_addr[1],Unknown,PIN_AF4,,
sram_addr[2],Unknown,PIN_AC5,,
sram_addr[3],Unknown,PIN_AC6,,
sram_addr[4],Unknown,PIN_AD4,,
sram_addr[5],Unknown,PIN_AD5,,
sram_addr[6],Unknown,PIN_AE5,,
sram_addr[7],Unknown,PIN_AF5,,
sram_addr[8],Unknown,PIN_AD6,,
sram_addr[9],Unknown,PIN_AD7,,
sram_addr[10],Unknown,PIN_V10,,
sram_addr[11],Unknown,PIN_V9,,
sram_addr[12],Unknown,PIN_AC7,,
sram_addr[13],Unknown,PIN_W8,,
sram_addr[14],Unknown,PIN_W10,,
sram_addr[15],Unknown,PIN_Y10,,
sram_addr[16],Unknown,PIN_AB8,,
sram_addr[17],Unknown,PIN_AC8,,
sram_dq[0],Unknown,PIN_AD8,,
sram_dq[1],Unknown,PIN_AE6,,
sram_dq[2],Unknown,PIN_AF6,,
sram_dq[3],Unknown,PIN_AA9,,
sram_dq[4],Unknown,PIN_AA10,,
sram_dq[5],Unknown,PIN_AB10,,
sram_dq[6],Unknown,PIN_AA11,,
sram_dq[7],Unknown,PIN_Y11,,
sram_dq[8],Unknown,PIN_AE7,,
sram_dq[9],Unknown,PIN_AF7,,
sram_dq[10],Unknown,PIN_AE8,,
sram_dq[11],Unknown,PIN_AF8,,
sram_dq[12],Unknown,PIN_W11,,
sram_dq[13],Unknown,PIN_W12,,
sram_dq[14],Unknown,PIN_AC9,,
sram_dq[15],Unknown,PIN_AC10,,
sram_we_n,Unknown,PIN_AE10,,
sram_oe_n,Unknown,PIN_AD10,,
sram_ub_n,Unknown,PIN_AF9,,
sram_lb_n,Unknown,PIN_AE9,,
sram_ce_n,Unknown,PIN_AC11,,
dram_addr[0],Unknown,PIN_T6,,
dram_addr[1],Unknown,PIN_V4,,
dram_addr[2],Unknown,PIN_V3,,
dram_addr[3],Unknown,PIN_W2,,
dram_addr[4],Unknown,PIN_W1,,
dram_addr[5],Unknown,PIN_U6,,
dram_addr[6],Unknown,PIN_U7,,
dram_addr[7],Unknown,PIN_U5,,
dram_addr[8],Unknown,PIN_W4,,
dram_addr[9],Unknown,PIN_W3,,
dram_addr[10],Unknown,PIN_Y1,,
dram_addr[11],Unknown,PIN_V5,,
dram_ba_0,Unknown,PIN_AE2,,
dram_ba_1,Unknown,PIN_AE3,,
dram_cas_n,Unknown,PIN_AB3,,
dram_cke,Unknown,PIN_AA6,,
dram_clk,Unknown,PIN_AA7,,
dram_cs_n,Unknown,PIN_AC3,,
dram_dq[0],Unknown,PIN_V6,,
dram_dq[1],Unknown,PIN_AA2,,
dram_dq[2],Unknown,PIN_AA1,,
dram_dq[3],Unknown,PIN_Y3,,
dram_dq[4],Unknown,PIN_Y4,,
dram_dq[5],Unknown,PIN_R8,,
dram_dq[6],Unknown,PIN_T8,,
dram_dq[7],Unknown,PIN_V7,,
dram_dq[8],Unknown,PIN_W6,,
dram_dq[9],Unknown,PIN_AB2,,
dram_dq[10],Unknown,PIN_AB1,,
dram_dq[11],Unknown,PIN_AA4,,
dram_dq[12],Unknown,PIN_AA3,,
dram_dq[13],Unknown,PIN_AC2,,
dram_dq[14],Unknown,PIN_AC1,,
dram_dq[15],Unknown,PIN_AA5,,
dram_ldqm,Unknown,PIN_AD2,,
dram_udqm,Unknown,PIN_Y5,,
dram_ras_n,Unknown,PIN_AB4,,
dram_we_n,Unknown,PIN_AD3,,
tv_reset_n,Unknown,PIN_C4,,
tv_data[0],Unknown,PIN_J9,3.3-V LVTTL,
tv_data[1],Unknown,PIN_E8,3.3-V LVTTL,
tv_data[2],Unknown,PIN_H8,3.3-V LVTTL,
tv_data[3],Unknown,PIN_H10,3.3-V LVTTL,
tv_data[4],Unknown,PIN_G9,3.3-V LVTTL,
tv_data[5],Unknown,PIN_F9,3.3-V LVTTL,
tv_data[6],Unknown,PIN_D7,3.3-V LVTTL,
tv_data[7],Unknown,PIN_C7,3.3-V LVTTL,
tv_hs,Unknown,PIN_D5,3.3-V LVTTL,
tv_vs,Unknown,PIN_K9,3.3-V LVTTL,
tv_clk_in,Unknown,PIN_C16,3.3-V LVTTL,
clock_27,Unknown,PIN_D13,,
EXT_CLOCK,Unknown,PIN_P26,,
LCD_RW,Unknown,PIN_K4,,
LCD_EN,Unknown,PIN_K3,,
LCD_RS,Unknown,PIN_K1,,
LCD_DATA[0],Unknown,PIN_J1,,
LCD_DATA[1],Unknown,PIN_J2,,
LCD_DATA[2],Unknown,PIN_H1,,
LCD_DATA[3],Unknown,PIN_H2,,
LCD_DATA[4],Unknown,PIN_J4,,
LCD_DATA[5],Unknown,PIN_J3,,
LCD_DATA[6],Unknown,PIN_H4,,
LCD_DATA[7],Unknown,PIN_H3,,
LCD_ON,Unknown,PIN_L4,,
LCD_BLON,Unknown,PIN_K2,,
IRDA_TXD,Unknown,PIN_AE24,,
IRDA_RXD,Unknown,PIN_AE25,,
OTG_ADDR[0],Unknown,PIN_K7,,
OTG_ADDR[1],Unknown,PIN_F2,,
OTG_CS_N,Unknown,PIN_F1,,
OTG_RD_N,Unknown,PIN_G2,,
OTG_WR_N,Unknown,PIN_G1,,
OTG_RST_N,Unknown,PIN_G5,,
OTG_DATA[0],Unknown,PIN_F4,,
OTG_DATA[1],Unknown,PIN_D2,,
OTG_DATA[2],Unknown,PIN_D1,,
OTG_DATA[3],Unknown,PIN_F7,,
OTG_DATA[4],Unknown,PIN_J5,,
OTG_DATA[5],Unknown,PIN_J8,,
OTG_DATA[6],Unknown,PIN_J7,,
OTG_DATA[7],Unknown,PIN_H6,,
OTG_DATA[8],Unknown,PIN_E2,,
OTG_DATA[9],Unknown,PIN_E1,,
OTG_DATA[10],Unknown,PIN_K6,,
OTG_DATA[11],Unknown,PIN_K5,,
OTG_DATA[12],Unknown,PIN_G4,,
OTG_DATA[13],Unknown,PIN_G3,,
OTG_DATA[14],Unknown,PIN_J6,,
OTG_DATA[15],Unknown,PIN_K8,,
OTG_INT0,Unknown,PIN_B3,,
OTG_INT1,Unknown,PIN_C3,,
OTG_DACK0_N,Unknown,PIN_C2,,
OTG_DACK1_N,Unknown,PIN_B2,,
OTG_DREQ0,Unknown,PIN_F6,,
OTG_DREQ1,Unknown,PIN_E5,,
OTG_FSPEED,Unknown,PIN_F3,,
OTG_LSPEED,Unknown,PIN_G6,,
TDI,Unknown,PIN_B14,,
TCS,Unknown,PIN_A14,,
TCK,Unknown,PIN_D14,,
TDO,Unknown,PIN_F14,,
ENET_DATA[0],Unknown,PIN_D17,3.3-V LVTTL,
ENET_DATA[1],Unknown,PIN_C17,,
ENET_DATA[2],Unknown,PIN_B18,,
ENET_DATA[3],Unknown,PIN_A18,,
ENET_DATA[4],Unknown,PIN_B17,,
ENET_DATA[5],Unknown,PIN_A17,,
ENET_DATA[6],Unknown,PIN_B16,,
ENET_DATA[7],Unknown,PIN_B15,,
ENET_DATA[8],Unknown,PIN_B20,,
ENET_DATA[9],Unknown,PIN_A20,,
ENET_DATA[10],Unknown,PIN_C19,,
ENET_DATA[11],Unknown,PIN_D19,,
ENET_DATA[12],Unknown,PIN_B19,,
ENET_DATA[13],Unknown,PIN_A19,,
ENET_DATA[14],Unknown,PIN_E18,,
ENET_DATA[15],Unknown,PIN_D18,,
ENET_CLK,Unknown,PIN_B24,,
ENET_CMD,Unknown,PIN_A21,,
ENET_CS_N,Unknown,PIN_A23,,
ENET_INT,Unknown,PIN_B21,,
ENET_RD_N,Unknown,PIN_A22,,
ENET_WR_N,Unknown,PIN_B22,,
ENET_RST_N,Unknown,PIN_B23,,
FL_ADDR[0],Unknown,PIN_AC18,,
FL_ADDR[1],Unknown,PIN_AB18,,
FL_ADDR[2],Unknown,PIN_AE19,,
FL_ADDR[3],Unknown,PIN_AF19,,
FL_ADDR[4],Unknown,PIN_AE18,,
FL_ADDR[5],Unknown,PIN_AF18,,
FL_ADDR[6],Unknown,PIN_Y16,,
FL_ADDR[7],Unknown,PIN_AA16,,
FL_ADDR[8],Unknown,PIN_AD17,,
FL_ADDR[9],Unknown,PIN_AC17,,
FL_ADDR[10],Unknown,PIN_AE17,,
FL_ADDR[11],Unknown,PIN_AF17,,
FL_ADDR[12],Unknown,PIN_W16,,
FL_ADDR[13],Unknown,PIN_W15,,
FL_ADDR[14],Unknown,PIN_AC16,,
FL_ADDR[15],Unknown,PIN_AD16,,
FL_ADDR[16],Unknown,PIN_AE16,,
FL_ADDR[17],Unknown,PIN_AC15,,
FL_ADDR[18],Unknown,PIN_AB15,,
FL_ADDR[19],Unknown,PIN_AA15,,
FL_ADDR[20],Unknown,PIN_Y15,3.3-V LVTTL,
FL_ADDR[21],Unknown,PIN_Y14,3.3-V LVTTL,
FL_CE_N,Unknown,PIN_V17,,
FL_OE_N,Unknown,PIN_W17,,
FL_DQ[0],Unknown,PIN_AD19,,
FL_DQ[1],Unknown,PIN_AC19,,
FL_DQ[2],Unknown,PIN_AF20,,
FL_DQ[3],Unknown,PIN_AE20,,
FL_DQ[4],Unknown,PIN_AB20,,
FL_DQ[5],Unknown,PIN_AC20,,
FL_DQ[6],Unknown,PIN_AF21,,
FL_DQ[7],Unknown,PIN_AE21,,
FL_RST_N,Unknown,PIN_AA18,,
FL_WE_N,Unknown,PIN_AA17,,
GPIO_0[0],Unknown,PIN_D25,,
GPIO_0[1],Unknown,PIN_J22,,
GPIO_0[2],Unknown,PIN_E26,,
GPIO_0[3],Unknown,PIN_E25,,
GPIO_0[4],Unknown,PIN_F24,,
GPIO_0[5],Unknown,PIN_F23,,
GPIO_0[6],Unknown,PIN_J21,,
GPIO_0[7],Unknown,PIN_J20,,
GPIO_0[8],Unknown,PIN_F25,,
GPIO_0[9],Unknown,PIN_F26,,
GPIO_0[10],Unknown,PIN_N18,,
GPIO_0[11],Unknown,PIN_P18,,
GPIO_0[12],Unknown,PIN_G23,,
GPIO_0[13],Unknown,PIN_G24,,
GPIO_0[14],Unknown,PIN_K22,,
GPIO_0[15],Unknown,PIN_G25,,
GPIO_0[16],Unknown,PIN_H23,,
GPIO_0[17],Unknown,PIN_H24,,
GPIO_0[18],Unknown,PIN_J23,,
GPIO_0[19],Unknown,PIN_J24,,
GPIO_0[20],Unknown,PIN_H25,,
GPIO_0[21],Unknown,PIN_H26,,
GPIO_0[22],Unknown,PIN_H19,,
GPIO_0[23],Unknown,PIN_K18,,
GPIO_0[24],Unknown,PIN_K19,,
GPIO_0[25],Unknown,PIN_K21,,
GPIO_0[26],Unknown,PIN_K23,,
GPIO_0[27],Unknown,PIN_K24,,
GPIO_0[28],Unknown,PIN_L21,,
GPIO_0[29],Unknown,PIN_L20,,
GPIO_0[30],Unknown,PIN_J25,,
GPIO_0[31],Unknown,PIN_J26,,
GPIO_0[32],Unknown,PIN_L23,,
GPIO_0[33],Unknown,PIN_L24,,
GPIO_0[34],Unknown,PIN_L25,,
GPIO_0[35],Unknown,PIN_L19,,
GPIO_1[0],Unknown,PIN_K25,,
GPIO_1[1],Unknown,PIN_K26,,
GPIO_1[2],Unknown,PIN_M22,,
GPIO_1[3],Unknown,PIN_M23,,
GPIO_1[4],Unknown,PIN_M19,,
GPIO_1[5],Unknown,PIN_M20,,
GPIO_1[6],Unknown,PIN_N20,,
GPIO_1[7],Unknown,PIN_M21,,
GPIO_1[8],Unknown,PIN_M24,,
GPIO_1[9],Unknown,PIN_M25,,
GPIO_1[10],Unknown,PIN_N24,,
GPIO_1[11],Unknown,PIN_P24,,
GPIO_1[12],Unknown,PIN_R25,,
GPIO_1[13],Unknown,PIN_R24,,
GPIO_1[14],Unknown,PIN_R20,,
GPIO_1[15],Unknown,PIN_T22,,
GPIO_1[16],Unknown,PIN_T23,,
GPIO_1[17],Unknown,PIN_T24,,
GPIO_1[18],Unknown,PIN_T25,,
GPIO_1[19],Unknown,PIN_T18,,
GPIO_1[20],Unknown,PIN_T21,,
GPIO_1[21],Unknown,PIN_T20,,
GPIO_1[22],Unknown,PIN_U26,,
GPIO_1[23],Unknown,PIN_U25,,
GPIO_1[24],Unknown,PIN_U23,,
GPIO_1[25],Unknown,PIN_U24,,
GPIO_1[26],Unknown,PIN_R19,,
GPIO_1[27],Unknown,PIN_T19,,
GPIO_1[28],Unknown,PIN_U20,,
GPIO_1[29],Unknown,PIN_U21,,
GPIO_1[30],Unknown,PIN_V26,,
GPIO_1[31],Unknown,PIN_V25,,
GPIO_1[32],Unknown,PIN_V24,,
GPIO_1[33],Unknown,PIN_V23,,
GPIO_1[34],Unknown,PIN_W25,,
GPIO_1[35],Unknown,PIN_W23,,




